fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag,debt_to_asset_score,interest_coverage_score,debt_to_ebit_score,cashflow_to_debt_score,revenue_trend_score,composite_0_10,composite_score,composite_score_calibrated
2022,43055000000,27685000000,15311000000,4776000000,4587000000,3800000000,401000000.0,2806000000,11126000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2584136569504122,9.476309226932669,2.9278947368421053,0.4122775480855653,0.5633387888707038,False,False,False,6.0,10.0,6.0,10.0,10.0,8.600000000000001,86.00000000000001,78.5592849789299
2023,47065000000,30747000000,16262000000,4033000000,3981000000,4013000000,493000000.0,2489000000,11656000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2476574949537873,8.139959432048682,2.904560179416895,0.3415408373369938,-0.1555695142378559,False,False,False,8.0,10.0,6.0,9.0,3.0,7.950000000000001,79.50000000000001,69.27673413529585
2024,46479000000,30034000000,16375000000,4431000000,2966000000,2562000000,,1207000000,11721000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2521784031498096,,4.574941451990632,0.2530500810511049,0.0986858418051077,False,True,False,6.0,,4.0,9.0,7.0,6.642857142857144,66.42857142857144,51.97181221707986
2025,48909000000,31172000000,17657000000,5833000000,921000000,2704000000,,1188000000,12369000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2528982395878059,,4.574334319526627,0.0744603444094106,0.3164071315730083,False,True,False,6.0,,4.0,5.0,10.0,5.642857142857143,56.42857142857143,40.03118893891705
2021,6794348000,3676532000,3117816000,12168302000,1223898000,1045530000,46251000.0,760806000,945200000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.1391156296380462,22.60556528507492,0.904039099786711,1.2948561151079137,,False,False,False,8.0,10.0,10.0,10.0,,9.666666666666666,96.66666666666666,94.72023984756972
2022,7787000000,4119814000,3666768000,14813999000,1776882000,1331553000,51249000.0,969351000,1261700000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.1620264543469885,25.982028917637415,0.9475402030561308,1.408323690259174,0.2174253235989705,False,False,False,8.0,10.0,10.0,10.0,9.0,9.600000000000001,96.00000000000001,93.67721544706062
2023,8588000000,4484390000,4103758000,12829665000,1744618000,993196000,65933000.0,728287000,1326100000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.1544131346064275,15.06371619674518,1.3351845959911235,1.3156006334363923,-0.1339499212872904,False,False,False,8.0,10.0,8.0,10.0,3.0,8.600000000000003,86.00000000000003,78.55928497892992
2024,8312270000,4297765000,4014505000,12087204000,1483156000,831225000,79020000.0,570886000,977700000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.117621299596861,10.519172361427486,1.176215826039881,1.5169847601513755,-0.0578706458820241,False,False,False,8.0,10.0,8.0,10.0,3.0,8.600000000000003,86.00000000000003,78.55928497892992
2025,7927155000,4362070000,3565085000,11999096000,1678272000,865069000,,598282000,766938000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.096748202854618,,0.8865628059727028,2.1882759753721945,-0.0072893615430003,False,True,False,10.0,,10.0,10.0,5.0,9.285714285714286,92.85714285714286,88.8187192850695
2021,48662000000,39112000000,9576000000,30737000000,6815000000,-158000000,106000000.0,-77000000,12410000000.0,False,KR,56873,Retail,Kroger Co.,0.255024454399737,-1.490566037735849,-50.11409003627054,0.5491539081385979,,False,False,False,6.0,0.0,0.0,10.0,,3.777777777777778,37.77777777777778,21.065814334177325
2022,49086000000,39657000000,9452000000,137888000000,6190000000,3477000000,571000000.0,1655000000,11745000000.0,False,KR,56873,Retail,Kroger Co.,0.2392739273927392,6.089316987740806,3.3779119930974977,0.5270327799063431,3.459289980291159,False,False,False,8.0,8.0,6.0,10.0,10.0,8.300000000000002,83.00000000000003,74.22068321674399
2023,49623000000,39609000000,10042000000,148258000000,4498000000,4126000000,535000000.0,2244000000,11292000000.0,False,KR,56873,Retail,Kroger Co.,0.2275557705096427,7.71214953271028,2.7367910809500726,0.3983351044987602,0.0752059642608493,False,False,False,8.0,8.0,6.0,10.0,7.0,8.000000000000002,80.00000000000001,69.97517273236981
2024,50505000000,38904000000,11615000000,150039000000,6788000000,3096000000,441000000.0,2164000000,10187000000.0,False,KR,56873,Retail,Kroger Co.,0.2017028017028017,7.020408163265306,3.290374677002584,0.6663394522430549,0.0120128424773031,False,False,False,8.0,8.0,6.0,10.0,5.0,7.800000000000001,78.0,67.19722896980336
2025,52616000000,44335000000,8285000000,147123000000,5794000000,3849000000,,2665000000,15909000000.0,False,KR,56873,Retail,Kroger Co.,0.3023604987076174,,4.13328137178488,0.3641963668363819,-0.0194349469138024,False,True,False,6.0,,4.0,10.0,5.0,6.714285714285715,67.14285714285715,52.86883112055174
2021,20385400000,10091400000,10273400000,13136100000,3109600000,3048600000,211800000.0,2377300000,5418000000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.2657784492823295,14.393767705382436,1.7772092107852784,0.573938722775932,,False,False,False,6.0,10.0,8.0,10.0,,8.88888888888889,88.88888888888889,82.82395481737235
2022,20155100000,10039600000,10096600000,11863900000,1955900000,1436500000,179800000.0,1279100000,5340100000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.2649503103432878,7.989432703003337,3.7174382178907055,0.3662665493155559,-0.0968476183951096,False,False,False,6.0,8.0,6.0,10.0,3.0,7.300000000000001,73.0,60.43890343735912
2023,16725100000,8834600000,7875000000,12161600000,1327700000,725600000,199600000.0,418000000,5054500000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.302210450161733,3.635270541082164,6.965959206174201,0.262676822633297,0.0250929289693946,False,False,False,6.0,6.0,4.0,9.0,5.0,6.250000000000001,62.50000000000001,47.1420026292591
2024,18379000000,10312500000,8052200000,13008900000,1585800000,1086700000,208300000.0,746000000,6331500000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.3444964361499537,5.216994719155065,5.826355019784669,0.2504619758351101,0.0696701091961584,False,False,False,6.0,8.0,4.0,9.0,7.0,7.050000000000001,70.5,57.16136448576874
2025,18392700000,9756000000,8619800000,13951700000,1640500000,1384700000,224100000.0,876500000,5084600000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.2764466337188123,6.178937974118697,3.67198671192316,0.3226409157062502,0.072473460477058,False,False,False,6.0,8.0,6.0,9.0,7.0,7.450000000000001,74.50000000000001,62.43815138980909
2021,17706000000,15153000000,2553000000,6780000000,649000000,-4475000000,284000000.0,160000000,4407000000.0,False,M,794367,Retail,"MACY'S, INC.",0.2488986784140969,-12.348403755868544,-0.984804469273743,0.147265713637395,,False,False,False,8.0,0.0,0.0,7.0,,3.277777777777778,32.77777777777778,16.785226672564065
2022,17590000000,13969000000,3621000000,24460000000,2712000000,2350000000,256000000.0,1430000000,3295000000.0,False,M,794367,Retail,"MACY'S, INC.",0.187322342239909,9.1796875,1.402127659574468,0.8230652503793626,2.607669616519174,False,False,False,8.0,10.0,8.0,10.0,10.0,9.300000000000002,93.00000000000003,89.03745086448069
2023,16866000000,12784000000,4082000000,24442000000,1615000000,1689000000,175000000.0,1146000000,2996000000.0,False,M,794367,Retail,"MACY'S, INC.",0.1776354796632278,9.651428571428571,1.773830669034932,0.5390520694259012,-0.0007358953393294,False,False,False,8.0,10.0,8.0,10.0,5.0,8.800000000000002,88.00000000000003,81.50275240950091
2024,16246000000,12211000000,4035000000,23092000000,1305000000,301000000,170000000.0,45000000,2998000000.0,False,M,794367,Retail,"MACY'S, INC.",0.1845377323648898,1.7705882352941176,9.960132890365449,0.4352901934623082,-0.0552327960068733,False,False,False,8.0,4.0,2.0,10.0,3.0,5.6000000000000005,56.00000000000001,39.545843488502285
2025,16402000000,11850000000,4552000000,22293000000,1278000000,909000000,158000000.0,582000000,2773000000.0,False,M,794367,Retail,"MACY'S, INC.",0.1690647482014388,5.753164556962025,3.0506050605060504,0.4608727010457987,-0.0346007275246839,False,False,False,8.0,8.0,6.0,10.0,5.0,7.800000000000001,78.0,67.19722896980336
2021,3693100000,2025700000,1667400000,3925300000,984100000,1187500000,22600000.0,927400000,564000000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.1527172294278519,52.54424778761062,0.4749473684210526,1.7448581560283687,,False,False,False,8.0,10.0,10.0,10.0,,9.666666666666666,96.66666666666666,94.72023984756972
2022,4330000000,2033100000,2296900000,4343000000,1271900000,1353600000,18000000.0,1063900000,440600000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.1017551963048498,75.2,0.3255023640661938,2.8867453472537448,0.1064122487453187,False,False,False,8.0,10.0,10.0,10.0,7.0,9.4,94.0,90.57421229601952
