fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2025,18392700000,9756000000,8619800000,13951700000,1640500000,1384700000,224100000.0,876500000,5084600000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.27644663371881234,6.178937974118697,3.6719867119231604,0.32264091570625025,0.07247346047705805,False,False,False
2021,17706000000,15153000000,2553000000,6780000000,649000000,-4475000000,284000000.0,160000000,4407000000.0,False,M,794367,Retail,"MACY'S, INC.",0.2488986784140969,-15.757042253521126,-0.984804469273743,0.14726571363739505,,False,False,False
2022,17590000000,13969000000,3621000000,24460000000,2712000000,2350000000,256000000.0,1430000000,3295000000.0,False,M,794367,Retail,"MACY'S, INC.",0.18732234223990904,9.1796875,1.402127659574468,0.8230652503793626,2.607669616519174,False,False,False
2023,16866000000,12784000000,4082000000,24442000000,1615000000,1689000000,175000000.0,1146000000,2996000000.0,False,M,794367,Retail,"MACY'S, INC.",0.1776354796632278,9.651428571428571,1.773830669034932,0.5390520694259012,-0.0007358953393294954,False,False,False
2024,16246000000,12211000000,4035000000,23092000000,1305000000,301000000,170000000.0,45000000,2998000000.0,False,M,794367,Retail,"MACY'S, INC.",0.18453773236488982,1.7705882352941176,9.960132890365449,0.4352901934623082,-0.055232796006873364,False,False,False
2025,16402000000,11850000000,4552000000,22293000000,1278000000,909000000,158000000.0,582000000,2773000000.0,False,M,794367,Retail,"MACY'S, INC.",0.16906474820143885,5.753164556962025,3.0506050605060504,0.46087270104579875,-0.034600727524683905,False,False,False
2021,3693100000,2025700000,1667400000,3925300000,984100000,1187500000,22600000.0,927400000,564000000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.15271722942785193,52.54424778761062,0.4749473684210526,1.7448581560283687,,False,False,False
2022,4330000000,2033100000,2296900000,4343000000,1271900000,1353600000,18000000.0,1063900000,440600000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.10175519630484989,75.2,0.32550236406619387,2.8867453472537448,0.10641224874531874,False,False,False
2023,4294600000,1893900000,2400700000,3094600000,510500000,342800000,12200000.0,297100000,400900000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.09334978810599358,28.098360655737704,1.1694865810968496,1.2733848840109754,-0.2874510706884642,False,False,False
2024,4595400000,1943400000,2652000000,3421800000,767800000,551300000,,476400000,361200000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.07860033946990469,,0.6551786686014874,2.125692137320044,0.1057325664059976,False,True,False
2025,4635600000,1876600000,2759000000,3344500000,547100000,499800000,,444800000,312100000.0,False,MATX,3453,SupplyChain,"Matson, Inc.",0.06732677539045646,,0.6244497799119648,1.7529637936558795,-0.02259044947103861,False,True,False
2021,65015000000,65036000000,-21000000,59142000000,4542000000,-5040000000,217000000.0,666000000,7100000000.0,False,MCK,927653,Healthcare,McKESSON CORPORATION,0.10920556794585864,-23.225806451612904,-1.4087301587301588,0.6397183098591549,,False,False,False
